# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
2330.961104, 910.969664, 1.648662, 1966.400000, 0.867905
2330.683959, 910.804805, 1.648522, 1966.300000, 0.867874
2330.405829, 910.639960, 1.648380, 1966.200000, 0.867842
2330.127406, 910.475129, 1.648238, 1966.100000, 0.867811
2329.849809, 910.310312, 1.648097, 1966.000000, 0.867779
2329.572743, 910.145510, 1.647957, 1965.900000, 0.867748
2329.295293, 909.980721, 1.647816, 1965.800000, 0.867717
2329.016267, 909.815946, 1.647673, 1965.700000, 0.867685
2328.738366, 909.651186, 1.647532, 1965.600000, 0.867653
2328.460865, 909.486440, 1.647390, 1965.500000, 0.867622
2328.184649, 909.321708, 1.647252, 1965.400000, 0.867591
2327.906302, 909.156990, 1.647109, 1965.300000, 0.867559
2327.627797, 908.992286, 1.646967, 1965.200000, 0.867527
2327.351475, 908.827596, 1.646827, 1965.100000, 0.867497
2327.073022, 908.662921, 1.646685, 1965.000000, 0.867465
2326.795563, 908.498260, 1.646544, 1964.900000, 0.867433
2326.517304, 908.333612, 1.646402, 1964.800000, 0.867402
2326.240067, 908.168979, 1.646261, 1964.700000, 0.867371
2325.961781, 908.004360, 1.646119, 1964.600000, 0.867339
2325.684232, 907.839755, 1.645978, 1964.500000, 0.867307
2325.407482, 907.675164, 1.645837, 1964.400000, 0.867276
2325.128000, 907.510588, 1.645693, 1964.300000, 0.867244
2324.852435, 907.346025, 1.645555, 1964.200000, 0.867213
2324.573743, 907.181477, 1.645412, 1964.100000, 0.867181
2324.297219, 907.016943, 1.645272, 1964.000000, 0.867150
2324.018303, 906.852423, 1.645129, 1963.900000, 0.867118
2323.741317, 906.687917, 1.644989, 1963.800000, 0.867086
2323.464807, 906.523425, 1.644848, 1963.700000, 0.867056
2323.186359, 906.358947, 1.644706, 1963.600000, 0.867023
2322.908781, 906.194484, 1.644565, 1963.500000, 0.866992
2322.632531, 906.030034, 1.644425, 1963.400000, 0.866961
2322.353110, 905.865599, 1.644281, 1963.300000, 0.866929
2322.076906, 905.701178, 1.644141, 1963.200000, 0.866898
2321.800646, 905.536771, 1.644001, 1963.100000, 0.866866
2321.521928, 905.372378, 1.643859, 1963.000000, 0.866834
2321.244625, 905.207999, 1.643717, 1962.900000, 0.866803
2320.967259, 905.043634, 1.643576, 1962.800000, 0.866771
2320.689092, 904.879284, 1.643434, 1962.700000, 0.866739
2320.412286, 904.714947, 1.643293, 1962.600000, 0.866708
2320.133656, 904.550625, 1.643150, 1962.500000, 0.866676
2319.858026, 904.386317, 1.643011, 1962.400000, 0.866645
2319.579719, 904.222023, 1.642868, 1962.300000, 0.866613
2319.301640, 904.057743, 1.642726, 1962.200000, 0.866581
2319.025185, 903.893478, 1.642586, 1962.100000, 0.866550
2318.747149, 903.729226, 1.642444, 1962.000000, 0.866518
2318.471543, 903.564989, 1.642305, 1961.900000, 0.866486
2318.193714, 903.400765, 1.642163, 1961.800000, 0.866455
2317.916166, 903.236556, 1.642021, 1961.700000, 0.866423
2317.639131, 903.072361, 1.641880, 1961.600000, 0.866391
2317.359644, 902.908180, 1.641735, 1961.500000, 0.866359
2317.086465, 902.744013, 1.641600, 1961.400000, 0.866328
2316.807665, 902.579861, 1.641456, 1961.300000, 0.866296
2316.531367, 902.415722, 1.641316, 1961.200000, 0.866265
2316.253438, 902.251598, 1.641174, 1961.100000, 0.866233
2315.975621, 902.087488, 1.641032, 1961.000000, 0.866201
2315.698393, 901.923392, 1.640890, 1960.900000, 0.866169
2315.421437, 901.759310, 1.640749, 1960.800000, 0.866138
2315.144243, 901.595242, 1.640608, 1960.700000, 0.866106
2314.865513, 901.431188, 1.640464, 1960.600000, 0.866074
2314.591605, 901.267149, 1.640327, 1960.500000, 0.866043
2314.312973, 901.103123, 1.640184, 1960.400000, 0.866011
2314.035290, 900.939112, 1.640042, 1960.300000, 0.865979
2313.758448, 900.775115, 1.639901, 1960.200000, 0.865947
2313.482119, 900.611132, 1.639761, 1960.100000, 0.865916
2313.204115, 900.447163, 1.639618, 1960.000000, 0.865884
2312.927495, 900.283208, 1.639477, 1959.900000, 0.865852
2312.649404, 900.119268, 1.639334, 1959.800000, 0.865820
2312.373419, 899.955341, 1.639195, 1959.700000, 0.865788
2312.096541, 899.791429, 1.639053, 1959.600000, 0.865757
2311.820580, 899.627531, 1.638914, 1959.500000, 0.865725
2311.542242, 899.463647, 1.638770, 1959.400000, 0.865693
2311.264856, 899.299777, 1.638628, 1959.300000, 0.865661
2310.988960, 899.135921, 1.638488, 1959.200000, 0.865629
2310.711434, 898.972079, 1.638346, 1959.100000, 0.865598
2310.433756, 898.808252, 1.638204, 1959.000000, 0.865565
2310.157930, 898.644438, 1.638064, 1958.900000, 0.865534
2309.878651, 898.480639, 1.637919, 1958.800000, 0.865502
2309.603512, 898.316854, 1.637780, 1958.700000, 0.865470
2309.326834, 898.153083, 1.637639, 1958.600000, 0.865438
2309.048927, 897.989326, 1.637497, 1958.500000, 0.865406
2308.772966, 897.825584, 1.637356, 1958.400000, 0.865375
2308.494758, 897.661855, 1.637213, 1958.300000, 0.865343
2308.218983, 897.498141, 1.637073, 1958.200000, 0.865311
2307.943137, 897.334441, 1.636933, 1958.100000, 0.865279
2307.664589, 897.170754, 1.636790, 1958.000000, 0.865247
2307.390203, 897.007082, 1.636652, 1957.900000, 0.865216
2307.110542, 896.843425, 1.636506, 1957.800000, 0.865183
2306.835198, 896.679781, 1.636367, 1957.700000, 0.865152
2306.558209, 896.516151, 1.636225, 1957.600000, 0.865119
2306.281359, 896.352536, 1.636084, 1957.500000, 0.865087
2306.004901, 896.188935, 1.635943, 1957.400000, 0.865055
2305.727163, 896.025347, 1.635800, 1957.300000, 0.865024
2305.450355, 895.861774, 1.635658, 1957.200000, 0.864992
2305.174295, 895.698216, 1.635518, 1957.100000, 0.864960
2304.898180, 895.534671, 1.635377, 1957.000000, 0.864928
2304.620603, 895.371140, 1.635235, 1956.900000, 0.864896
2304.345200, 895.207624, 1.635095, 1956.800000, 0.864864
2304.067225, 895.044121, 1.634952, 1956.700000, 0.864832
2303.790694, 894.880633, 1.634811, 1956.600000, 0.864800
2303.514349, 894.717159, 1.634670, 1956.500000, 0.864768
2303.237640, 894.553699, 1.634528, 1956.400000, 0.864736
2302.961658, 894.390254, 1.634388, 1956.300000, 0.864704
2302.683382, 894.226822, 1.634244, 1956.200000, 0.864672
2302.408437, 894.063405, 1.634105, 1956.100000, 0.864640
2302.129973, 893.900001, 1.633961, 1956.000000, 0.864608
2301.854893, 893.736612, 1.633822, 1955.900000, 0.864576
