# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
1816.694892, 728.477541, 1.297696, 1961.300000
1816.477727, 728.347777, 1.297585, 1961.200000
1816.261181, 728.218024, 1.297476, 1961.100000
1816.043156, 728.088282, 1.297365, 1961.000000
1815.823398, 727.958551, 1.297250, 1960.900000
1815.608333, 727.828831, 1.297143, 1960.800000
1815.390749, 727.699123, 1.297032, 1960.700000
1815.173096, 727.569425, 1.296921, 1960.600000
1814.954213, 727.439739, 1.296808, 1960.500000
1814.739710, 727.310063, 1.296701, 1960.400000
1814.521194, 727.180399, 1.296588, 1960.300000
1814.303605, 727.050746, 1.296477, 1960.200000
1814.086217, 726.921104, 1.296366, 1960.100000
1813.868497, 726.791472, 1.296255, 1960.000000
1813.651768, 726.661852, 1.296145, 1959.900000
1813.434424, 726.532244, 1.296034, 1959.800000
1813.215446, 726.402646, 1.295921, 1959.700000
1812.999757, 726.273059, 1.295812, 1959.600000
1812.782278, 726.143484, 1.295701, 1959.500000
1812.564650, 726.013919, 1.295590, 1959.400000
1812.348202, 725.884366, 1.295480, 1959.300000
1812.129898, 725.754823, 1.295367, 1959.200000
1811.913629, 725.625292, 1.295258, 1959.100000
1811.695420, 725.495772, 1.295146, 1959.000000
1811.478286, 725.366263, 1.295035, 1958.900000
1811.261439, 725.236765, 1.294925, 1958.800000
1811.044335, 725.107278, 1.294814, 1958.700000
1810.827277, 724.977802, 1.294704, 1958.600000
1810.609147, 724.848337, 1.294591, 1958.500000
1810.392299, 724.718884, 1.294480, 1958.400000
1810.175260, 724.589441, 1.294370, 1958.300000
1809.958261, 724.460010, 1.294259, 1958.200000
1809.740136, 724.330590, 1.294147, 1958.100000
1809.523143, 724.201180, 1.294037, 1958.000000
1809.307189, 724.071782, 1.293927, 1957.900000
1809.088942, 723.942395, 1.293815, 1957.800000
1808.872495, 723.813019, 1.293705, 1957.700000
1808.655590, 723.683654, 1.293594, 1957.600000
1808.437807, 723.554300, 1.293483, 1957.500000
1808.219630, 723.424958, 1.293370, 1957.400000
1808.004239, 723.295626, 1.293262, 1957.300000
1807.786344, 723.166306, 1.293150, 1957.200000
1807.570172, 723.036996, 1.293040, 1957.100000
1807.351996, 722.907698, 1.292927, 1957.000000
1807.136482, 722.778411, 1.292819, 1956.900000
1806.917532, 722.649135, 1.292705, 1956.800000
1806.700209, 722.519869, 1.292594, 1956.700000
1806.484932, 722.390616, 1.292485, 1956.600000
1806.267140, 722.261373, 1.292373, 1956.500000
1806.050863, 722.132141, 1.292263, 1956.400000
1805.833767, 722.002920, 1.292152, 1956.300000
1805.615528, 721.873711, 1.292040, 1956.200000
