# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
3.470354e+15, 1.236670e+36, 1e+39
3.469935e+15, 1.236447e+36, 1e+39
3.469519e+15, 1.236224e+36, 1e+39
3.469102e+15, 1.236002e+36, 1e+39
3.468685e+15, 1.235779e+36, 1e+39
3.468269e+15, 1.235557e+36, 1e+39
3.467852e+15, 1.235334e+36, 1e+39
3.467436e+15, 1.235111e+36, 1e+39
3.467019e+15, 1.234889e+36, 1e+39
3.466602e+15, 1.234666e+36, 1e+39
3.466184e+15, 1.234444e+36, 1e+39
3.465770e+15, 1.234221e+36, 1e+39
3.465351e+15, 1.233999e+36, 1e+39
3.464937e+15, 1.233777e+36, 1e+39
3.464521e+15, 1.233554e+36, 1e+39
3.464102e+15, 1.233332e+36, 1e+39
3.463687e+15, 1.233109e+36, 1e+39
3.463269e+15, 1.232887e+36, 1e+39
3.462853e+15, 1.232665e+36, 1e+39
3.462439e+15, 1.232442e+36, 1e+39
3.462021e+15, 1.232220e+36, 1e+39
3.461603e+15, 1.231998e+36, 1e+39
3.461187e+15, 1.231776e+36, 1e+39
3.460772e+15, 1.231553e+36, 1e+39
3.460356e+15, 1.231331e+36, 1e+39
3.459940e+15, 1.231109e+36, 1e+39
3.459520e+15, 1.230887e+36, 1e+39
3.459107e+15, 1.230665e+36, 1e+39
3.458689e+15, 1.230442e+36, 1e+39
3.458271e+15, 1.230220e+36, 1e+39
3.457859e+15, 1.229998e+36, 1e+39
3.457441e+15, 1.229776e+36, 1e+39
3.457025e+15, 1.229554e+36, 1e+39
3.456609e+15, 1.229332e+36, 1e+39
3.456194e+15, 1.229110e+36, 1e+39
3.455777e+15, 1.228888e+36, 1e+39
3.455362e+15, 1.228666e+36, 1e+39
3.454943e+15, 1.228444e+36, 1e+39
3.454529e+15, 1.228222e+36, 1e+39
3.454111e+15, 1.228000e+36, 1e+39
3.453697e+15, 1.227778e+36, 1e+39
3.453283e+15, 1.227556e+36, 1e+39
3.452864e+15, 1.227334e+36, 1e+39
3.452450e+15, 1.227113e+36, 1e+39
3.452031e+15, 1.226891e+36, 1e+39
3.451616e+15, 1.226669e+36, 1e+39
3.451200e+15, 1.226447e+36, 1e+39
3.450787e+15, 1.226225e+36, 1e+39
3.450370e+15, 1.226004e+36, 1e+39
3.449953e+15, 1.225782e+36, 1e+39
3.449537e+15, 1.225560e+36, 1e+39
3.449122e+15, 1.225338e+36, 1e+39
3.448707e+15, 1.225117e+36, 1e+39
3.448290e+15, 1.224895e+36, 1e+39
3.447874e+15, 1.224673e+36, 1e+39
3.447458e+15, 1.224452e+36, 1e+39
3.447042e+15, 1.224230e+36, 1e+39
3.446627e+15, 1.224009e+36, 1e+39
3.446213e+15, 1.223787e+36, 1e+39
3.445796e+15, 1.223566e+36, 1e+39
3.445380e+15, 1.223344e+36, 1e+39
3.444963e+15, 1.223122e+36, 1e+39
3.444549e+15, 1.222901e+36, 1e+39
3.444132e+15, 1.222680e+36, 1e+39
3.443718e+15, 1.222458e+36, 1e+39
3.443301e+15, 1.222237e+36, 1e+39
3.442884e+15, 1.222015e+36, 1e+39
3.442473e+15, 1.221794e+36, 1e+39
3.442056e+15, 1.221572e+36, 1e+39
3.441642e+15, 1.221351e+36, 1e+39
3.441225e+15, 1.221130e+36, 1e+39
3.440807e+15, 1.220908e+36, 1e+39
3.440394e+15, 1.220687e+36, 1e+39
3.439980e+15, 1.220466e+36, 1e+39
3.439563e+15, 1.220245e+36, 1e+39
3.439148e+15, 1.220023e+36, 1e+39
3.438732e+15, 1.219802e+36, 1e+39
3.438316e+15, 1.219581e+36, 1e+39
3.437903e+15, 1.219360e+36, 1e+39
3.437488e+15, 1.219139e+36, 1e+39
3.437070e+15, 1.218917e+36, 1e+39
3.436654e+15, 1.218696e+36, 1e+39
3.436243e+15, 1.218475e+36, 1e+39
3.435824e+15, 1.218254e+36, 1e+39
3.435410e+15, 1.218033e+36, 1e+39
3.434997e+15, 1.217812e+36, 1e+39
3.434578e+15, 1.217591e+36, 1e+39
3.434163e+15, 1.217370e+36, 1e+39
3.433749e+15, 1.217149e+36, 1e+39
3.433332e+15, 1.216928e+36, 1e+39
3.432921e+15, 1.216707e+36, 1e+39
3.432503e+15, 1.216486e+36, 1e+39
3.432089e+15, 1.216265e+36, 1e+39
3.431675e+15, 1.216044e+36, 1e+39
3.431260e+15, 1.215823e+36, 1e+39
3.430846e+15, 1.215603e+36, 1e+39
3.430428e+15, 1.215382e+36, 1e+39
3.430017e+15, 1.215161e+36, 1e+39
3.429598e+15, 1.214940e+36, 1e+39
3.429184e+15, 1.214719e+36, 1e+39
3.428770e+15, 1.214499e+36, 1e+39
3.428353e+15, 1.214278e+36, 1e+39
3.427942e+15, 1.214057e+36, 1e+39
3.427526e+15, 1.213836e+36, 1e+39
3.427107e+15, 1.213616e+36, 1e+39
3.426696e+15, 1.213395e+36, 1e+39
3.426278e+15, 1.213174e+36, 1e+39
3.425866e+15, 1.212954e+36, 1e+39
3.425450e+15, 1.212733e+36, 1e+39
3.425035e+15, 1.212513e+36, 1e+39
3.424622e+15, 1.212292e+36, 1e+39
3.424207e+15, 1.212071e+36, 1e+39
3.423791e+15, 1.211851e+36, 1e+39
3.423377e+15, 1.211630e+36, 1e+39
3.422966e+15, 1.211410e+36, 1e+39
3.422547e+15, 1.211189e+36, 1e+39
3.422135e+15, 1.210969e+36, 1e+39
3.421720e+15, 1.210749e+36, 1e+39
3.421305e+15, 1.210528e+36, 1e+39
3.420891e+15, 1.210308e+36, 1e+39
3.420473e+15, 1.210087e+36, 1e+39
3.420062e+15, 1.209867e+36, 1e+39
3.419647e+15, 1.209647e+36, 1e+39
3.419233e+15, 1.209426e+36, 1e+39
3.418817e+15, 1.209206e+36, 1e+39
3.418401e+15, 1.208986e+36, 1e+39
3.417990e+15, 1.208765e+36, 1e+39
3.417574e+15, 1.208545e+36, 1e+39
3.417159e+15, 1.208325e+36, 1e+39
3.416746e+15, 1.208105e+36, 1e+39
3.416330e+15, 1.207885e+36, 1e+39
3.415915e+15, 1.207664e+36, 1e+39
3.415502e+15, 1.207444e+36, 1e+39
3.415091e+15, 1.207224e+36, 1e+39
3.414674e+15, 1.207004e+36, 1e+39
3.414260e+15, 1.206784e+36, 1e+39
3.413845e+15, 1.206564e+36, 1e+39
3.413434e+15, 1.206344e+36, 1e+39
3.413017e+15, 1.206124e+36, 1e+39
3.412604e+15, 1.205904e+36, 1e+39
3.412187e+15, 1.205684e+36, 1e+39
3.411776e+15, 1.205464e+36, 1e+39
3.411361e+15, 1.205244e+36, 1e+39
3.410947e+15, 1.205024e+36, 1e+39
3.410533e+15, 1.204804e+36, 1e+39
3.410118e+15, 1.204584e+36, 1e+39
3.409704e+15, 1.204364e+36, 1e+39
3.409290e+15, 1.204144e+36, 1e+39
3.408878e+15, 1.203924e+36, 1e+39
3.408464e+15, 1.203705e+36, 1e+39
3.408047e+15, 1.203485e+36, 1e+39
3.407637e+15, 1.203265e+36, 1e+39
3.407220e+15, 1.203045e+36, 1e+39
3.406807e+15, 1.202826e+36, 1e+39
