# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
129.564445, 3.167541, 0.136205, 974.500000
129.757312, 3.181171, 0.136403, 974.600000
129.949638, 3.194822, 0.136600, 974.700000
130.142905, 3.208492, 0.136798, 974.800000
130.335111, 3.222181, 0.136996, 974.900000
130.527145, 3.235891, 0.137192, 975.000000
130.719429, 3.249620, 0.137390, 975.100000
130.910971, 3.263369, 0.137586, 975.200000
131.103130, 3.277138, 0.137783, 975.300000
131.293828, 3.290926, 0.137979, 975.400000
131.485130, 3.304734, 0.138175, 975.500000
131.676224, 3.318561, 0.138371, 975.600000
131.866801, 3.332408, 0.138566, 975.700000
132.056208, 3.346274, 0.138760, 975.800000
132.247161, 3.360160, 0.138956, 975.900000
132.436790, 3.374066, 0.139150, 976.000000
132.626702, 3.387991, 0.139345, 976.100000
132.816977, 3.401935, 0.139540, 976.200000
133.005892, 3.415899, 0.139733, 976.300000
133.195048, 3.429882, 0.139927, 976.400000
133.383572, 3.443884, 0.140120, 976.500000
133.572571, 3.457906, 0.140313, 976.600000
133.761639, 3.471947, 0.140507, 976.700000
133.948859, 3.486008, 0.140698, 976.800000
134.137593, 3.500087, 0.140892, 976.900000
134.325241, 3.514186, 0.141084, 977.000000
134.513017, 3.528304, 0.141276, 977.100000
134.700303, 3.542442, 0.141468, 977.200000
134.887467, 3.556598, 0.141659, 977.300000
135.074568, 3.570774, 0.141851, 977.400000
135.261254, 3.584968, 0.142042, 977.500000
135.447333, 3.599182, 0.142232, 977.600000
135.634121, 3.613415, 0.142423, 977.700000
135.820945, 3.627667, 0.142615, 977.800000
136.006906, 3.641938, 0.142805, 977.900000
136.191856, 3.656228, 0.142993, 978.000000
136.377520, 3.670537, 0.143183, 978.100000
136.562397, 3.684865, 0.143372, 978.200000
136.747646, 3.699212, 0.143562, 978.300000
136.932711, 3.713578, 0.143751, 978.400000
137.117659, 3.727962, 0.143940, 978.500000
137.301806, 3.742366, 0.144128, 978.600000
137.486128, 3.756788, 0.144317, 978.700000
137.670212, 3.771230, 0.144505, 978.800000
137.853723, 3.785689, 0.144692, 978.900000
138.037171, 3.800168, 0.144879, 979.000000
138.220898, 3.814666, 0.145067, 979.100000
138.404167, 3.829182, 0.145254, 979.200000
138.587168, 3.843717, 0.145441, 979.300000
138.770153, 3.858270, 0.145628, 979.400000
138.952525, 3.872842, 0.145814, 979.500000
139.134394, 3.887433, 0.146000, 979.600000
139.316709, 3.902043, 0.146186, 979.700000
139.498603, 3.916671, 0.146372, 979.800000
139.680306, 3.931317, 0.146557, 979.900000
139.862019, 3.945982, 0.146743, 980.000000
140.043687, 3.960666, 0.146928, 980.100000
